Petition_ID,Petition_Name,Country,Genre,Year,Total_Signatures,Successful,Signatures,Signatures_Per_Capita,Population,Population_Density,GDP_Per_Capita,Unemployment,Tertiary_Enrollment,Life_Expectancy,Media_Literacy_Index,Governance,Social_Capital,Personal_Freedom,Education
eci_table_21,Fur Free Europe,Lithuania,Animal Welfare,2022,1502319,True,49650,0.0178158519099023,2786844.0,43,19455.45412660343,6.35,72.4,75.7,54,72.57,47.26,79.62,81.8
eci_table_21,Fur Free Europe,Luxembourg,Animal Welfare,2022,1502319,True,1912,0.0029625176441786,645397.0,242,110172.37314087298,5.36,19.2,82.1,53,86.31,66.6,89.2,78.79
eci_table_21,Fur Free Europe,Malta,Animal Welfare,2022,1502319,True,4131,0.0082183932056508,502653.0,1380,29416.230606402427,3.47,54.3,82.3,45,70.26,68.19,81.05,78.33
eci_table_21,Fur Free Europe,Netherlands,Animal Welfare,2022,1502319,True,41122,0.0023724892328728,17332850.0,508,52447.83143920359,3.2,85.0,81.8,64,87.34,74.03,90.08,86.43
eci_table_21,Fur Free Europe,Poland,Animal Welfare,2022,1502319,True,90919,0.0023944405388193,37970874.0,124,15595.227033436207,3.47,67.8,77.6,53,58.03,63.27,67.09,78.63
eci_table_21,Fur Free Europe,Portugal,Animal Welfare,2022,1502319,True,8395,0.000817475811918,10269417.0,111,23145.04081731222,6.33,63.9,81.3,60,73.19,62.92,85.78,77.64
eci_table_21,Fur Free Europe,Romania,Animal Welfare,2022,1502319,True,23160,0.0011964945808507,19356544.0,84,12919.529644186485,3.98,49.4,75.4,32,57.11,49.96,73.56,70.47
eci_table_21,Fur Free Europe,Slovakia,Animal Welfare,2022,1502319,True,34946,0.00640732164751,5454073.0,114,19329.0968008679,5.56,46.6,77.2,48,61.93,61.15,78.6,72.75
eci_table_21,Fur Free Europe,Slovenia,Animal Welfare,2022,1502319,True,5536,0.0026514095671056,2087946.0,103,25739.247814359183,4.2,78.6,81.0,55,63.66,62.69,75.8,81.8
eci_table_21,Fur Free Europe,Spain,Animal Welfare,2022,1502319,True,32615,0.0006928043784472,47076781.0,94,29613.67113798626,13.96,88.9,83.3,58,72.48,69.27,83.65,80.98
eci_table_21,Fur Free Europe,Sweden,Animal Welfare,2022,1502319,True,101645,0.0098824038182858,10285453.0,25,51610.06605523354,6.48,67.0,82.5,71,86.41,78.29,91.9,85.92
